id,name,address,searchAddress,source
good-price-151rdxc,해바라기,"경상남도 사천시 사천읍 시장1길 16 14, 15호",경상남도 사천시 사천읍 시장1길 16 14,착한가격업소
good-price-fslxxk,상해루,경상남도 김해시 내덕로107번길 12,경상남도 김해시 내덕로107번길 12,착한가격업소
good-price-1r7tvny,퀸모텔,"경상남도 거제시 옥포로2길 39-2 (옥포동) 2, 3층 퀸모텔",경상남도 거제시 옥포로2길 39-2 2,착한가격업소
good-price-9vk483,오렌지헤어샵,제주특별자치도 제주시 조천읍 함덕남12길 30,제주특별자치도 제주시 조천읍 함덕남12길 30,착한가격업소
good-price-av9cgc,제주마실게스트하우스,제주특별자치도 제주시 서광로2길 11-6 (오라일동),제주특별자치도 제주시 서광로2길 11-6,착한가격업소
good-price-1k14qa0,진양,"제주특별자치도 제주시 건주로6길 14-7, 1층 102호 (도련일동, 자운당)",제주특별자치도 제주시 건주로6길 14-7,착한가격업소
good-price-1a8t441,올래회어촌 제주이호테우점,제주특별자치도 제주시 태우해안로 166,제주특별자치도 제주시 태우해안로 166,착한가격업소
good-price-163jjca,금악리 자양식당,제주특별자치도 제주시 한림읍 금악리 18 (금악리 자양식당),제주특별자치도 제주시 한림읍 금악리 18 (금악리 자양식당),착한가격업소
good-price-nh0g1e,비파인뷰티,"제주특별자치도 제주시 과원로 16-1, 1층 (노형동)",제주특별자치도 제주시 과원로 16-1,착한가격업소
good-price-xblcww,제주에코스위츠,제주특별자치도 서귀포시 중문동 944-5 외 1필지,제주특별자치도 서귀포시 중문동 944-5 외 1필지,착한가격업소
good-price-zcyffl,성읍신토불이,제주특별자치도 서귀포시 표선면 성읍 서문로 81,제주특별자치도 서귀포시 표선면 성읍 서문로 81,착한가격업소
good-price-1s5qqmo,시골밥상,제주특별자치도 서귀포시 성산읍 고성오조로 97-11,제주특별자치도 서귀포시 성산읍 고성오조로 97-11,착한가격업소
good-price-1yf6f2l,스피드세탁소,제주특별자치도 서귀포시 남원읍 남원리 140-5 2,제주특별자치도 서귀포시 남원읍 남원리 140-5 2,착한가격업소
good-price-1kwe1jm,고성장터국밥,제주특별자치도 서귀포시 성산읍 고성동서로 45-19,제주특별자치도 서귀포시 성산읍 고성동서로 45-19,착한가격업소
good-price-12peo42,구두미바당,제주특별자치도 서귀포시 칠십로 525,제주특별자치도 서귀포시 칠십로 525,착한가격업소
